날짜,WTI,Brent,Dubai
2022-12-30,80.26,85.91,78.77
2022-12-29,78.4,82.26,78.15
2022-12-28,78.96,83.26,80
2022-12-27,79.53,84.33,80.63
2022-12-26,79.545,84.125,79.37
2022-12-23,79.56,83.92,78.11
2022-12-22,77.49,80.98,78.88
2022-12-21,78.29,82.2,76.74
2022-12-20,76.09,79.99,75.79
2022-12-19,75.19,79.8,75.36
2022-12-16,74.29,79.04,76.36
2022-12-15,76.11,81.21,77.73
2022-12-14,77.28,82.7,76.71
2022-12-13,75.39,80.68,75.48
2022-12-12,73.17,77.99,71.83
2022-12-09,71.02,76.1,72.05
2022-12-08,71.46,76.15,73.09
2022-12-07,72.01,77.17,74.85
2022-12-06,74.25,79.35,77.97
2022-12-03,76.93,82.68,80.81
2022-12-02,79.98,85.57,80.98
2022-12-01,81.22,86.88,81.37
2022-11-30,80.55,85.43,80.44
2022-11-29,78.2,83.03,80.96
2022-11-28,77.24,83.19,76.68
2022-11-25,76.28,83.63,81.08
2022-11-24,77.11,85.34,77.67
2022-11-23,77.94,85.41,81.83
2022-11-22,80.95,88.36,82.35
2022-11-21,79.73,87.45,81.27
2022-11-18,80.08,87.62,84.35
2022-11-17,81.64,89.78,87.18
2022-11-16,85.59,92.86,88.06
2022-11-15,86.92,93.86,86.83
2022-11-14,85.87,93.14,91.04
2022-11-11,88.96,95.99,91.05
2022-11-10,86.47,93.67,87.18
2022-11-09,85.83,92.65,89.8
2022-11-08,88.91,95.36,92.34
2022-11-07,91.79,97.92,92.92
2022-11-04,92.61,98.57,92.31
2022-11-03,88.17,94.67,89.83
2022-11-02,90,96.16,91.02
2022-11-01,88.37,94.65,91.44
2022-10-31,86.53,94.83,90.64
2022-10-28,87.9,95.77,92.66
2022-10-27,89.08,96.96,92.4
2022-10-26,87.91,95.69,90.39
2022-10-25,85.32,93.52,89.6
2022-10-24,84.58,93.26,90.17
2022-10-21,85.05,93.5,90.74
2022-10-20,85.98,92.38,89.89
2022-10-19,85.55,92.41,85.79
2022-10-18,82.82,90.03,88.85
2022-10-17,85.46,91.62,89.69
2022-10-14,85.61,91.63,92.12
2022-10-13,89.11,94.57,91.19
2022-10-12,87.27,92.45,92.95
2022-10-11,89.35,94.29,93.73
2022-10-10,91.13,96.19,96.51
2022-10-07,92.64,97.92,94.36
2022-10-06,88.45,94.42,93.31
2022-10-05,87.76,93.37,91.22
2022-10-04,86.52,91.8,88.82
2022-10-03,83.63,88.86,88.28
2022-09-29,81.23,88.49,87.33
2022-09-28,82.15,89.32,84.66
2022-09-27,78.5,86.27,84.25
2022-09-26,76.71,84.06,84.89
2022-09-23,78.74,86.15,88.82
2022-09-22,83.49,90.46,91.21
2022-09-21,82.94,89.83,92.77
2022-09-20,84.45,90.62,92.59
2022-09-19,85.73,92,90.36
2022-09-16,85.11,91.35,91.04
2022-09-15,85.1,90.84,93.66
2022-09-14,88.48,94.1,92.73
2022-09-13,87.31,93.17,94.5
2022-09-12,87.78,94,92.42
2022-09-09,86.79,92.84,90.45
2022-09-08,83.54,89.15,88.06
2022-09-07,81.94,88,92.27
2022-09-06,86.88,92.83,95.25
2022-09-05,86.875,95.74,95.38
2022-09-02,86.87,93.02,94.74
2022-09-01,86.61,92.36,93.99
2022-08-31,89.55,96.49,97.88
2022-08-30,91.64,99.31,102.84
2022-08-29,97.01,105.09,100.21
2022-08-26,93.06,100.99,99.68
2022-08-25,92.52,99.34,99.92
2022-08-24,94.89,101.22,99.54
2022-08-23,93.74,100.22,96.54
2022-08-22,90.23,96.48,93.97
2022-08-19,90.77,96.72,94.36
2022-08-18,90.5,96.59,92.85
2022-08-17,88.11,93.65,90.45
2022-08-16,86.53,92.34,92.12
2022-08-15,89.41,95.1,94.6
2022-08-12,92.09,98.15,98.24
2022-08-11,94.34,99.6,96.03
2022-08-10,91.93,97.4,94.89
2022-08-09,90.5,96.31,94.6
2022-08-08,90.76,96.65,94.31
2022-08-05,89.01,94.92,93.75
2022-08-04,88.54,94.12,95.73
2022-08-03,90.66,96.78,98.4
2022-08-02,94.42,100.54,98.02
2022-08-01,93.89,100.03,101.54
2022-07-29,98.62,110.01,107.23
2022-07-28,96.42,107.14,105.04
2022-07-27,97.26,106.62,101.43
2022-07-26,94.98,104.4,104.96
2022-07-25,96.7,105.15,101.25
2022-07-22,94.7,103.2,102.67
2022-07-21,96.35,103.86,101.96
2022-07-20,102.26,106.92,104.39
2022-07-19,104.22,107.35,104.84
2022-07-18,102.6,106.27,102.62
2022-07-15,97.59,101.16,98.33
2022-07-14,95.78,99.1,97.73
2022-07-13,96.3,99.57,98.41
2022-07-12,95.84,99.49,102.16
2022-07-11,104.09,107.1,103.095
2022-07-08,104.79,107.02,104.03
2022-07-07,102.73,104.65,98.19
2022-07-06,98.53,100.69,101.73
2022-07-05,99.5,102.77,111.07
2022-07-04,103.965,113.5,108.38
2022-07-01,108.43,111.63,106.34
2022-06-30,105.76,114.81,113.4
2022-06-29,109.78,116.26,114.22
2022-06-28,111.76,117.98,113.21
2022-06-27,109.57,115.09,110.03
2022-06-24,107.62,113.12,106.51
2022-06-23,104.27,110.05,106.48
2022-06-22,106.19,111.74,106.62
2022-06-21,110.65,114.65,111.79
2022-06-20,110.105,114.13,108.43
2022-06-17,109.56,113.12,116.29
2022-06-16,117.59,119.81,114.99
2022-06-15,115.31,118.51,116.33
2022-06-14,118.93,121.17,118.67
2022-06-13,120.93,122.27,115.63
2022-06-10,120.67,122.01,118.94
2022-06-09,121.51,123.07,118.83
2022-06-08,122.11,123.58,116.52
2022-06-07,119.41,120.57,115.6
2022-06-06,118.5,119.51,115.66
2022-06-03,118.87,119.72,112.12
2022-06-02,116.87,117.61,108.99
2022-06-01,115.26,116.29,112.7
2022-05-30,115.165,121.67,113.84
2022-05-27,115.07,119.43,112.36
2022-05-26,114.09,117.4,108.93
2022-05-25,110.33,114.03,109.19
2022-05-24,109.77,113.56,107.94
2022-05-23,110.29,113.42,109.47
2022-05-20,113.23,112.55,108.07
2022-05-19,112.21,112.04,105.52
2022-05-18,109.59,109.11,109.79
2022-05-17,112.4,111.93,110.88
2022-05-16,114.2,114.24,108.765
2022-05-13,110.49,111.55,106.65
2022-05-12,106.13,107.45,102.81
2022-05-11,105.71,107.51,102.94
2022-05-10,99.76,102.46,103.13
2022-05-09,103.09,105.94,107.99
2022-05-06,109.77,112.39,107.82
2022-05-05,108.26,110.9,106.66
2022-05-04,107.81,110.14,104.7
2022-05-03,102.41,104.97,104.9233333
2022-05-02,105.17,107.58,105.1466667
2022-04-29,104.69,109.34,105.37
2022-04-28,105.36,107.59,102.83
2022-04-27,102.02,105.32,103.05
2022-04-26,101.7,104.99,99.57
2022-04-25,98.54,102.32,99.72
2022-04-22,102.07,106.65,105.04
2022-04-21,103.79,108.33,106.17
2022-04-20,102.75,106.8,105.56
2022-04-19,102.56,107.25,108.69
2022-04-18,108.21,113.16,108.11
2022-04-14,106.95,111.7,105.88
2022-04-13,104.25,108.78,102.44
2022-04-12,100.6,104.64,98.14
2022-04-11,94.29,98.48,97.64
2022-04-08,98.26,102.78,98.14
2022-04-07,96.03,100.58,97.41
2022-04-06,96.23,101.07,103.79
2022-04-05,101.96,106.64,105.34
2022-04-04,103.28,107.53,101.84
2022-04-01,99.27,104.39,101.61
2022-03-31,100.28,107.91,107.71
2022-03-30,107.82,113.45,108.38
2022-03-29,104.24,110.23,108.58
2022-03-28,105.96,112.48,110.67
2022-03-25,113.9,120.65,111.93
2022-03-24,112.34,119.03,115.6
2022-03-23,114.93,121.6,111.8
2022-03-22,111.76,115.48,111.19
2022-03-21,112.12,115.62,109.81
2022-03-18,104.7,107.93,106.62
2022-03-17,102.98,106.64,100.86
2022-03-16,95.04,98.02,102.52
2022-03-15,96.44,99.91,99.78
2022-03-14,103.01,106.9,109.88
2022-03-11,109.33,112.67,110.49
2022-03-10,106.02,109.33,115.33
2022-03-09,108.7,111.14,127.86
2022-03-08,123.7,127.98,122.99
2022-03-07,119.4,123.21,125.19
2022-03-04,115.68,118.11,108.84
2022-03-03,107.67,110.46,116.65
2022-03-02,110.6,112.93,110.05
2022-03-01,103.41,104.97,98.71
2022-02-28,95.72,97.93,96.86
2022-02-25,91.59,97.93,95.84
2022-02-24,92.81,99.08,98.64
2022-02-23,92.1,96.84,93.65
2022-02-22,92.35,96.84,96.01
2022-02-21,91.71,95.39,91.73
2022-02-18,91.07,93.54,90.3
2022-02-17,91.76,92.97,91.9
2022-02-16,93.66,94.81,92.6
2022-02-15,92.07,93.28,93.05
2022-02-14,95.46,96.48,92.72
2022-02-11,93.1,94.44,90.25
2022-02-10,89.88,91.41,90.6
2022-02-09,89.66,91.55,89.39
2022-02-08,89.36,90.78,90.42
2022-02-07,91.32,92.69,90.91
2022-02-04,92.31,93.27,90.22
2022-02-03,90.27,91.11,87.46
2022-02-02,88.26,89.47,87.77
2022-02-01,88.2,89.16,88.08
2022-01-31,88.15,91.21,88.39
2022-01-28,86.82,90.03,87.58
2022-01-27,86.61,89.34,87.8
2022-01-26,87.35,89.96,86.77
2022-01-25,85.6,88.2,84.86
2022-01-24,83.31,86.27,86.71
2022-01-21,85.14,87.89,85.14
2022-01-20,86.9,88.38,86.35
2022-01-19,86.96,88.44,86.37
2022-01-18,85.43,87.51,86.58
2022-01-17,84.625,86.48,84.92
2022-01-14,83.82,86.06,83.75
2022-01-13,82.12,84.47,82.96
2022-01-12,82.64,84.67,82.19
2022-01-11,81.22,83.72,79.97
2022-01-10,78.23,80.87,80.36
2022-01-07,78.9,81.75,80.55
2022-01-06,79.46,81.99,78.83
2022-01-05,77.85,80.8,78.4
2022-01-04,76.99,80,77.51
2022-01-03,76.08,78.98,76.88
2021-12-31,75.21,77.78,77.12
2021-12-30,76.99,79.32,77.24
2021-12-29,76.56,79.23,76.91
2021-12-28,75.98,78.94,76.47
2021-12-27,75.57,78.6,75.42
2021-12-24,74.68,76.14,74.37
2021-12-23,73.79,76.85,73.54
2021-12-22,72.76,75.29,72.56
2021-12-21,71.12,73.98,70.56
2021-12-20,68.23,71.52,70.11
2021-12-17,70.86,73.52,73.36
2021-12-16,72.38,75.02,73.37
2021-12-15,70.87,73.88,72.01
2021-12-14,70.73,73.7,73.39
2021-12-13,71.29,74.39,74.11
2021-12-10,71.67,75.15,72.72
2021-12-09,70.94,74.42,74.48
2021-12-08,72.36,75.82,73.83
2021-12-07,72.05,75.44,73.22
2021-12-06,69.49,73.08,70.12
2021-12-03,66.26,69.88,70.79
2021-12-02,66.5,69.67,69.13
2021-12-01,65.57,68.87,71.13
2021-11-30,66.18,70.57,71.88
2021-11-29,69.95,73.44,75.17
2021-11-26,68.15,72.72,77.38
2021-11-25,73.27,82.22,81.44
2021-11-24,78.39,82.25,81.86
2021-11-23,78.5,82.31,78.47
2021-11-22,76.75,79.7,78.42
2021-11-19,76.1,78.89,80.89
2021-11-18,79.01,81.24,78.66
2021-11-17,78.36,80.28,81.01
2021-11-16,80.76,82.43,81.96
2021-11-15,80.88,82.05,80.89
2021-11-12,80.79,82.17,81.57
2021-11-11,81.59,82.87,81.83
2021-11-10,81.34,82.64,83.97
2021-11-09,84.15,84.78,82.24
2021-11-08,81.93,83.43,81.99
2021-11-05,81.27,82.74,79.48
2021-11-04,78.81,80.54,80.685
2021-11-03,80.86,81.99,81.89
2021-11-02,83.91,84.72,83.31
2021-11-01,84.05,84.71,81.99
2021-10-29,83.57,84.38,82.57
2021-10-28,82.81,84.32,81.91
2021-10-27,82.66,84.58,83.46
2021-10-26,84.65,86.4,83.94
2021-10-25,84.205,85.99,84.37
2021-10-22,83.76,85.53,82.57
2021-10-21,82.5,84.61,83.12
2021-10-20,83.87,85.82,82.56
2021-10-19,82.96,85.08,83.03
2021-10-18,82.44,84.33,83.89
2021-10-15,82.28,84.46,82.99
2021-10-14,81.31,84,82.28
2021-10-13,80.44,83.18,81.43
2021-10-12,80.64,83.42,82.07
2021-10-11,80.52,83.65,82.03
2021-10-08,79.35,82.39,81.23
2021-10-07,78.3,81.95,77.41
2021-10-06,77.43,81.08,80.55
2021-10-05,78.93,82.56,79.57
2021-10-04,77.62,81.26,77.17
2021-10-01,75.88,79.28,75.68
2021-09-30,75.03,78.52,75.92
2021-09-29,74.83,78.64,75.7
2021-09-28,75.29,79.09,77.34
2021-09-27,75.45,79.53,76.17
2021-09-24,73.98,78.09,74.77
2021-09-23,73.3,77.25,74.11
2021-09-22,72.23,76.19,73.3
2021-09-21,70.56,74.36,72.9
2021-09-20,70.29,73.92,72.13
2021-09-17,71.97,75.34,73.06
2021-09-16,72.61,75.67,73.09
2021-09-15,72.61,75.46,72.26
2021-09-14,70.46,73.6,72.29
